entity_id,created_at,updated_at,etype,content
22,2025-12-04 17:36:01.258944,2025-12-04 17:36:01.258944,URL,"{""url"": ""https://rdap.arin.net/registry/autnum/54113"", ""host"": ""rdap.arin.net"", ""path"": ""/registry/autnum/54113"", ""port"": 443, ""scheme"": ""https""}"
23,2025-12-04 17:36:01.267368,2025-12-04 17:36:01.267368,Identifier,"{""id"": ""fastly, inc."", ""id_type"": ""org_name"", ""unique_id"": ""org_name:fastly, inc.""}"
20,2025-12-04 17:36:01.205862,2025-12-04 19:27:17.864802,URL,"{""url"": ""https://rdap.arin.net/registry/entity/SKYCA-3"", ""host"": ""rdap.arin.net"", ""path"": ""/registry/entity/SKYCA-3"", ""port"": 443, ""scheme"": ""https""}"
25,2025-12-04 17:36:02.463379,2025-12-04 17:36:02.463379,Organization,"{""name"": ""Fastly, Inc."", ""unique_id"": ""3a774211-53e7-4483-baad-e57dfbd9a725""}"
3831,2025-12-04 19:39:54.710865,2025-12-04 19:39:54.710865,FQDN,"{""name"": ""49.11.223.76.in-addr.arpa""}"
3832,2025-12-04 19:39:54.725838,2025-12-04 19:39:54.725838,FQDN,"{""name"": ""159.246.243.54.in-addr.arpa""}"
15,2025-12-04 17:36:00.666167,2025-12-04 19:42:32.019438,Netblock,"{""cidr"": ""158.101.192.0/22"", ""type"": ""IPv4""}"
12,2025-12-04 17:35:54.987783,2025-12-04 19:42:32.029248,Netblock,"{""cidr"": ""158.101.64.0/22"", ""type"": ""IPv4""}"
39,2025-12-04 17:36:12.105228,2025-12-04 19:42:32.046053,Netblock,"{""cidr"": ""158.101.0.0/22"", ""type"": ""IPv4""}"
26,2025-12-04 17:36:02.49051,2025-12-04 19:27:17.920629,ContactRecord,"{""discovered_at"": ""https://rdap.arin.net/registry/entity/ABUSE4771-ARIN""}"
35,2025-12-04 17:36:04.420892,2025-12-04 17:36:04.420892,ContactRecord,"{""discovered_at"": ""fastly.com""}"
36,2025-12-04 17:36:04.427061,2025-12-04 17:36:04.427061,FQDN,"{""name"": ""fastly.com""}"
38,2025-12-04 17:36:06.500751,2025-12-04 17:36:06.500751,FQDN,"{""name"": ""187.130.101.158.in-addr.arpa""}"
40,2025-12-04 17:36:12.141677,2025-12-04 17:36:12.141677,FQDN,"{""name"": ""187.2.101.158.in-addr.arpa""}"
41,2025-12-04 17:36:20.124952,2025-12-04 17:36:20.124952,Identifier,"{""id"": ""microsoft corporation"", ""id_type"": ""org_name"", ""unique_id"": ""org_name:microsoft corporation""}"
42,2025-12-04 17:36:20.982207,2025-12-04 17:36:20.982208,Organization,"{""name"": ""Microsoft Corporation"", ""unique_id"": ""4f6ef8d0-70b5-45c6-b1bc-7c52c3bde26d""}"
43,2025-12-04 17:36:21.004834,2025-12-04 17:36:21.004834,Identifier,"{""id"": ""zoom communications, inc."", ""id_type"": ""org_name"", ""unique_id"": ""org_name:zoom communications, inc.""}"
27,2025-12-04 17:36:02.500169,2025-12-04 19:27:17.925163,URL,"{""url"": ""https://rdap.arin.net/registry/entity/ABUSE4771-ARIN"", ""host"": ""rdap.arin.net"", ""path"": ""/registry/entity/ABUSE4771-ARIN"", ""port"": 443, ""scheme"": ""https""}"
28,2025-12-04 17:36:02.523617,2025-12-04 19:27:17.93784,Identifier,"{""id"": ""abuse@fastly.com"", ""id_type"": ""email"", ""unique_id"": ""email:abuse@fastly.com""}"
29,2025-12-04 17:36:02.538749,2025-12-04 19:27:17.957023,Phone,"{""raw"": ""+14154969353"", ""e164"": ""+14154969353"", ""type"": ""phone"", ""country_code"": 1}"
47,2025-12-04 17:36:21.575683,2025-12-04 17:36:21.575683,FQDN,"{""name"": ""mtan01.alerts.globomantics.com""}"
48,2025-12-04 17:36:21.581146,2025-12-04 17:36:21.581146,FQDN,"{""name"": ""api-dmz-ttc.globomantics.com""}"
49,2025-12-04 17:36:21.586306,2025-12-04 17:36:21.586306,FQDN,"{""name"": ""api-dmz-ttce.globomantics.com""}"
50,2025-12-04 17:36:21.591927,2025-12-04 17:36:21.591927,FQDN,"{""name"": ""dwa-ui-dev.global.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
51,2025-12-04 17:36:21.597756,2025-12-04 17:36:21.597756,FQDN,"{""name"": ""photosub-external.global.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
52,2025-12-04 17:36:21.604058,2025-12-04 17:36:21.604058,FQDN,"{""name"": ""redoak.global.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
53,2025-12-04 17:36:21.612092,2025-12-04 17:36:21.612093,FQDN,"{""name"": ""redsky.global.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
54,2025-12-04 17:36:21.621911,2025-12-04 17:36:21.621911,FQDN,"{""name"": ""web-labs.global.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
55,2025-12-04 17:36:21.628071,2025-12-04 17:36:21.628071,FQDN,"{""name"": ""web-npe.global.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
56,2025-12-04 17:36:21.633499,2025-12-04 17:36:21.6335,FQDN,"{""name"": ""redoak.us-central1.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
57,2025-12-04 17:36:21.642249,2025-12-04 17:36:21.642249,FQDN,"{""name"": ""redsky.us-central1.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
58,2025-12-04 17:36:21.649698,2025-12-04 17:36:21.649698,FQDN,"{""name"": ""web-labs.us-central1.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
59,2025-12-04 17:36:21.656315,2025-12-04 17:36:21.656316,FQDN,"{""name"": ""redoak.us-east1.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
60,2025-12-04 17:36:21.662443,2025-12-04 17:36:21.662443,FQDN,"{""name"": ""redsky.us-east1.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
30,2025-12-04 17:36:02.5642,2025-12-04 19:27:18.025455,ContactRecord,"{""discovered_at"": ""https://rdap.arin.net/registry/entity/FRA19-ARIN""}"
31,2025-12-04 17:36:02.571956,2025-12-04 19:27:18.033102,URL,"{""url"": ""https://rdap.arin.net/registry/entity/FRA19-ARIN"", ""host"": ""rdap.arin.net"", ""path"": ""/registry/entity/FRA19-ARIN"", ""port"": 443, ""scheme"": ""https""}"
32,2025-12-04 17:36:02.586144,2025-12-04 19:27:18.05358,Identifier,"{""id"": ""rir-admin@fastly.com"", ""id_type"": ""email"", ""unique_id"": ""email:rir-admin@fastly.com""}"
33,2025-12-04 17:36:02.600885,2025-12-04 19:27:18.076765,Phone,"{""raw"": ""+14154049374"", ""e164"": ""+14154049374"", ""type"": ""phone"", ""country_code"": 1}"
6,2025-12-04 17:35:52.394164,2025-12-04 19:31:10.901758,FQDN,"{""name"": ""ns4-65.akam.net""}"
61,2025-12-04 17:36:21.668037,2025-12-04 17:36:21.668037,FQDN,"{""name"": ""web-labs.us-east1.tgt-cnf-dev.gcp.cloud.globomantics.com""}"
62,2025-12-04 17:36:21.674324,2025-12-04 17:36:21.674324,FQDN,"{""name"": ""photosub-external.global.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
63,2025-12-04 17:36:21.680042,2025-12-04 17:36:21.680042,FQDN,"{""name"": ""redoak.global.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
64,2025-12-04 17:36:21.68538,2025-12-04 17:36:21.68538,FQDN,"{""name"": ""redsky.global.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
65,2025-12-04 17:36:21.691808,2025-12-04 17:36:21.691808,FQDN,"{""name"": ""web-canary.global.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
66,2025-12-04 17:36:21.697324,2025-12-04 17:36:21.697324,FQDN,"{""name"": ""web-control.global.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
67,2025-12-04 17:36:21.70366,2025-12-04 17:36:21.703661,FQDN,"{""name"": ""web-stable.global.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
68,2025-12-04 17:36:21.709558,2025-12-04 17:36:21.709558,FQDN,"{""name"": ""redoak.us-central1.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
69,2025-12-04 17:36:21.715586,2025-12-04 17:36:21.715587,FQDN,"{""name"": ""redsky.us-central1.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
70,2025-12-04 17:36:21.721457,2025-12-04 17:36:21.721457,FQDN,"{""name"": ""web-stable.us-central1.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
71,2025-12-04 17:36:21.727527,2025-12-04 17:36:21.727527,FQDN,"{""name"": ""redoak.us-east1.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
72,2025-12-04 17:36:21.733026,2025-12-04 17:36:21.733026,FQDN,"{""name"": ""redsky.us-east1.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
73,2025-12-04 17:36:21.739471,2025-12-04 17:36:21.739471,FQDN,"{""name"": ""web-stable.us-east1.tgt-cnf-prod.gcp.cloud.globomantics.com""}"
74,2025-12-04 17:36:21.745266,2025-12-04 17:36:21.745266,FQDN,"{""name"": ""tapsampleapp.global.tgt-pe-lab.gcp.cloud.globomantics.com""}"
75,2025-12-04 17:36:21.753746,2025-12-04 17:36:21.753746,FQDN,"{""name"": ""atp-shipprices.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
76,2025-12-04 17:36:21.760062,2025-12-04 17:36:21.760062,FQDN,"{""name"": ""availability.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
77,2025-12-04 17:36:21.766003,2025-12-04 17:36:21.766003,FQDN,"{""name"": ""ccapi-partner-item.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
78,2025-12-04 17:36:21.772466,2025-12-04 17:36:21.772466,FQDN,"{""name"": ""dwa-ui-prod.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
79,2025-12-04 17:36:21.777831,2025-12-04 17:36:21.777831,FQDN,"{""name"": ""firefly-ingest.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
80,2025-12-04 17:36:21.784589,2025-12-04 17:36:21.78459,FQDN,"{""name"": ""fulfillmentaggregator.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
81,2025-12-04 17:36:21.790283,2025-12-04 17:36:21.790283,FQDN,"{""name"": ""gfashipmethodsv1.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
82,2025-12-04 17:36:21.796449,2025-12-04 17:36:21.796449,FQDN,"{""name"": ""gfashipmethodsv2.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
83,2025-12-04 17:36:21.802437,2025-12-04 17:36:21.802438,FQDN,"{""name"": ""guestinteractions.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
84,2025-12-04 17:36:21.808512,2025-12-04 17:36:21.808512,FQDN,"{""name"": ""keywordsearch-prod.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
85,2025-12-04 17:36:21.814266,2025-12-04 17:36:21.814266,FQDN,"{""name"": ""nova.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
86,2025-12-04 17:36:21.820525,2025-12-04 17:36:21.820525,FQDN,"{""name"": ""promotions-messaging.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
87,2025-12-04 17:36:21.826219,2025-12-04 17:36:21.826219,FQDN,"{""name"": ""prz-secure.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
88,2025-12-04 17:36:21.832407,2025-12-04 17:36:21.832407,FQDN,"{""name"": ""sapphire.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
89,2025-12-04 17:36:21.837593,2025-12-04 17:36:21.837593,FQDN,"{""name"": ""tgtstorage.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
90,2025-12-04 17:36:21.872366,2025-12-04 17:36:21.872366,FQDN,"{""name"": ""veneer-ext1.global.tgt-pe-prod.gcp.cloud.globomantics.com""}"
91,2025-12-04 17:36:21.880315,2025-12-04 17:36:21.880315,FQDN,"{""name"": ""availability.us-central1.tgt-pe-prod.gcp.cloud.globomantics.com""}"
92,2025-12-04 17:36:21.886466,2025-12-04 17:36:21.886466,FQDN,"{""name"": ""gfashipmethodsv1.us-central1.tgt-pe-prod.gcp.cloud.globomantics.com""}"
93,2025-12-04 17:36:21.892845,2025-12-04 17:36:21.892845,FQDN,"{""name"": ""gfashipmethodsv2.us-central1.tgt-pe-prod.gcp.cloud.globomantics.com""}"
94,2025-12-04 17:36:21.898451,2025-12-04 17:36:21.898451,FQDN,"{""name"": ""availability.us-east1.tgt-pe-prod.gcp.cloud.globomantics.com""}"
95,2025-12-04 17:36:21.904499,2025-12-04 17:36:21.904499,FQDN,"{""name"": ""gfashipmethodsv1.us-east1.tgt-pe-prod.gcp.cloud.globomantics.com""}"
96,2025-12-04 17:36:21.912008,2025-12-04 17:36:21.912008,FQDN,"{""name"": ""gfashipmethodsv2.us-east1.tgt-pe-prod.gcp.cloud.globomantics.com""}"
97,2025-12-04 17:36:21.917758,2025-12-04 17:36:21.917758,FQDN,"{""name"": ""apigatewaysampleapi.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
98,2025-12-04 17:36:21.924964,2025-12-04 17:36:21.924964,FQDN,"{""name"": ""availability.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
99,2025-12-04 17:36:21.931566,2025-12-04 17:36:21.931566,FQDN,"{""name"": ""fulfillmentaggregator.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
100,2025-12-04 17:36:21.937989,2025-12-04 17:36:21.937989,FQDN,"{""name"": ""gfashipmethodsv1.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
101,2025-12-04 17:36:21.94431,2025-12-04 17:36:21.94431,FQDN,"{""name"": ""gfashipmethodsv2.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
102,2025-12-04 17:36:21.950035,2025-12-04 17:36:21.950035,FQDN,"{""name"": ""keywordproxy.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
103,2025-12-04 17:36:21.95694,2025-12-04 17:36:21.95694,FQDN,"{""name"": ""keywordsearch.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
104,2025-12-04 17:36:21.963288,2025-12-04 17:36:21.963288,FQDN,"{""name"": ""nova.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
105,2025-12-04 17:36:21.96878,2025-12-04 17:36:21.96878,FQDN,"{""name"": ""promotions-eval-stg.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
106,2025-12-04 17:36:21.971767,2025-12-04 17:36:21.971767,DomainRecord,"{""id"": ""117595_DOMAIN_COM-VRSN"", ""raw"": ""Domain Name: globomantics.com\r\n   Registry Domain ID: 117595_DOMAIN_COM-VRSN\r\n   Registrar WHOIS Server: whois.brandsight.com\r\n   Registrar URL: http://gcd.com\r\n   Updated Date: 2023-06-01T04:16:02Z\r\n   Creation Date: 1997-01-02T05:00:00Z\r\n   Registry Expiry Date: 2028-01-01T05:00:00Z\r\n   Registrar: GoDaddy Corporate Domains, LLC\r\n   Registrar IANA ID: 3786\r\n   Registrar Abuse Contact Email: abuse@gcd.com\r\n   Registrar Abuse Contact Phone: +1.5189669187\r\n   Domain Status: clientTransferProhibited https://icann.org/epp#clientTransferProhibited\r\n   Domain Status: serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited\r\n   Domain Status: serverTransferProhibited https://icann.org/epp#serverTransferProhibited\r\n   Domain Status: serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited\r\n   Name Server: NS1-168.AKAM.NET\r\n   Name Server: NS4-65.AKAM.NET\r\n   Name Server: NS5-65.AKAM.NET\r\n   Name Server: NS7-64.AKAM.NET\r\n   DNSSEC: unsigned\r\n   URL of the ICANN Whois Inaccuracy Complaint Form: https://www.icann.org/wicf/\r\n>>> Last update of whois database: 2025-12-04T17:36:10Z <<<\r\n\r\nFor more information on Whois status codes, please visit https://icann.org/epp\r\n\r\nNOTICE: The expiration date displayed in this record is the date the\r\nregistrar's sponsorship of the domain name registration in the registry is\r\ncurrently set to expire. This date does not necessarily reflect the expiration\r\ndate of the domain name registrant's agreement with the sponsoring\r\nregistrar.  Users may consult the sponsoring registrar's Whois database to\r\nview the registrar's reported date of expiration for this registration.\r\n\r\nTERMS OF USE: You are not authorized to access or query our Whois\r\ndatabase through the use of electronic processes that are high-volume and\r\nautomated except as reasonably necessary to register domain names or\r\nmodify existing registrations; the Data in VeriSign Global Registry\r\nServices' (\""VeriSign\"") Whois database is provided by VeriSign for\r\ninformation purposes only, and to assist persons in obtaining information\r\nabout or related to a domain name registration record. VeriSign does not\r\nguarantee its accuracy. By submitting a Whois query, you agree to abide\r\nby the following terms of use: You agree that you may use this Data only\r\nfor lawful purposes and that under no circumstances will you use this Data\r\nto: (1) allow, enable, or otherwise support the transmission of mass\r\nunsolicited, commercial advertising or solicitations via e-mail, telephone,\r\nor facsimile; or (2) enable high volume, automated, electronic processes\r\nthat apply to VeriSign (or its computer systems). The compilation,\r\nrepackaging, dissemination or other use of this Data is expressly\r\nprohibited without the prior written consent of VeriSign. You agree not to\r\nuse electronic processes that are automated and high-volume to access or\r\nquery the Whois database except as reasonably necessary to register\r\ndomain names or modify existing registrations. VeriSign reserves the right\r\nto restrict your access to the Whois database in its sole discretion to ensure\r\noperational stability.  VeriSign may restrict or terminate your access to the\r\nWhois database for failure to abide by these terms of use. VeriSign\r\nreserves the right to modify these terms at any time.\r\n\r\nThe Registry database contains ONLY .COM, .NET, .EDU domains and\r\nRegistrars.\r\nThis WHOIS server is being retired. Please use our RDAP service instead. Rate limit exceeded. Try again after: 2562047h47m16.854775807s.\n\n% Query time: 1847 msec\n% WHEN: Thu Dec 04 17:36:20 UTC 2025\n"", ""name"": ""target"", ""domain"": ""globomantics.com"", ""status"": [""clientTransferProhibited"", ""serverDeleteProhibited"", ""serverTransferProhibited"", ""serverUpdateProhibited""], ""punycode"": ""globomantics.com"", ""extension"": ""com"", ""created_date"": ""1997-01-02T05:00:00Z"", ""updated_date"": ""2023-06-01T04:16:02Z"", ""whois_server"": ""whois.brandsight.com"", ""expiration_date"": ""2028-01-01T05:00:00Z""}"
107,2025-12-04 17:36:21.97689,2025-12-04 17:36:21.97689,FQDN,"{""name"": ""promotions-messaging.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
108,2025-12-04 17:36:21.984603,2025-12-04 17:36:21.984603,FQDN,"{""name"": ""promotions-preview.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
111,2025-12-04 17:36:22.001273,2025-12-04 17:36:22.001274,FQDN,"{""name"": ""sapphire-stage.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
112,2025-12-04 17:36:22.011705,2025-12-04 17:36:22.011705,FQDN,"{""name"": ""tgtstorage.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
114,2025-12-04 17:36:22.024661,2025-12-04 17:36:22.024661,FQDN,"{""name"": ""watchtower.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
115,2025-12-04 17:36:22.041344,2025-12-04 17:36:22.041344,FQDN,"{""name"": ""availability.us-central1.tgt-pe-test.gcp.cloud.globomantics.com""}"
118,2025-12-04 17:36:22.056596,2025-12-04 17:36:22.056596,ContactRecord,"{""discovered_at"": ""whois.brandsight.com, globomantics.com, Registrar Contact Info""}"
121,2025-12-04 17:36:22.071553,2025-12-04 17:36:22.071553,FQDN,"{""name"": ""gfashipmethodsv2.us-central1.tgt-pe-test.gcp.cloud.globomantics.com""}"
123,2025-12-04 17:36:22.079745,2025-12-04 17:36:22.079745,FQDN,"{""name"": ""availability.us-east1.tgt-pe-test.gcp.cloud.globomantics.com""}"
126,2025-12-04 17:36:22.093379,2025-12-04 17:36:22.093379,FQDN,"{""name"": ""gfashipmethodsv1.us-east1.tgt-pe-test.gcp.cloud.globomantics.com""}"
127,2025-12-04 17:36:22.100411,2025-12-04 17:36:22.100411,FQDN,"{""name"": ""gfashipmethodsv2.us-east1.tgt-pe-test.gcp.cloud.globomantics.com""}"
128,2025-12-04 17:36:22.108169,2025-12-04 17:36:22.108169,FQDN,"{""name"": ""tap-ext-data-plane.us-central1.tgt-shr-lab.gcp.cloud.globomantics.com""}"
129,2025-12-04 17:36:22.113924,2025-12-04 17:36:22.113924,FQDN,"{""name"": ""tap-ext-data-plane.us-east1.tgt-shr-lab.gcp.cloud.globomantics.com""}"
130,2025-12-04 17:36:22.120713,2025-12-04 17:36:22.120713,FQDN,"{""name"": ""checkout.global.tgt-shr-prod.gcp.cloud.globomantics.com""}"
132,2025-12-04 17:36:22.128628,2025-12-04 17:36:22.128628,FQDN,"{""name"": ""storebackup.global.tgt-shr-prod.gcp.cloud.globomantics.com""}"
109,2025-12-04 17:36:21.992565,2025-12-04 17:36:21.992565,FQDN,"{""name"": ""sapphire-dev.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
113,2025-12-04 17:36:22.018198,2025-12-04 17:36:22.018198,FQDN,"{""name"": ""veneer-ext1.global.tgt-pe-test.gcp.cloud.globomantics.com""}"
116,2025-12-04 17:36:22.048549,2025-12-04 17:36:22.048549,FQDN,"{""name"": ""fastlyintake.us-central1.tgt-pe-test.gcp.cloud.globomantics.com""}"
117,2025-12-04 17:36:22.05566,2025-12-04 17:36:22.05566,FQDN,"{""name"": ""fulfillmentaggregator.us-central1.tgt-pe-test.gcp.cloud.globomantics.com""}"
120,2025-12-04 17:36:22.061751,2025-12-04 17:36:22.061752,FQDN,"{""name"": ""gfashipmethodsv1.us-central1.tgt-pe-test.gcp.cloud.globomantics.com""}"
124,2025-12-04 17:36:22.086381,2025-12-04 17:36:22.086381,FQDN,"{""name"": ""fulfillmentaggregator.us-east1.tgt-pe-test.gcp.cloud.globomantics.com""}"
131,2025-12-04 17:36:22.121339,2025-12-04 17:36:22.121339,FQDN,"{""name"": ""fallnationalhub.globomantics.com""}"
1207,2025-12-04 17:37:52.22777,2025-12-04 17:37:52.227771,IPAddress,"{""type"": ""IPv4"", ""address"": ""199.235.203.4""}"
135,2025-12-04 17:36:22.137446,2025-12-04 17:36:22.137446,FQDN,"{""name"": ""gam-api-secure.globomantics.com""}"
1208,2025-12-04 17:37:52.241707,2025-12-04 17:37:52.241707,IPAddress,"{""type"": ""IPv4"", ""address"": ""199.235.195.3""}"
139,2025-12-04 17:36:22.153095,2025-12-04 17:36:22.153095,FQDN,"{""name"": ""ihas.globomantics.com""}"
141,2025-12-04 17:36:22.161559,2025-12-04 17:36:22.161559,FQDN,"{""name"": ""dlpdep3.ewips.globomantics.com""}"
143,2025-12-04 17:36:22.170137,2025-12-04 17:36:22.170137,FQDN,"{""name"": ""wssext.ewips.globomantics.com""}"
146,2025-12-04 17:36:22.184864,2025-12-04 17:36:22.184864,FQDN,"{""name"": ""storebackup.us-east1.tgt-shr-prod.gcp.cloud.globomantics.com""}"
148,2025-12-04 17:36:22.1927,2025-12-04 17:36:22.192701,FQDN,"{""name"": ""sre-sandbox.global.tgt-shr-test.gcp.cloud.globomantics.com""}"
150,2025-12-04 17:36:22.20096,2025-12-04 17:36:22.20096,FQDN,"{""name"": ""storebackup.global.tgt-shr-test.gcp.cloud.globomantics.com""}"
152,2025-12-04 17:36:22.208645,2025-12-04 17:36:22.208645,FQDN,"{""name"": ""tgtstorage.global.tgt-shr-test.gcp.cloud.globomantics.com""}"
154,2025-12-04 17:36:22.216512,2025-12-04 17:36:22.216512,FQDN,"{""name"": ""sre-sandbox.us-central1.tgt-shr-test.gcp.cloud.globomantics.com""}"
156,2025-12-04 17:36:22.224059,2025-12-04 17:36:22.224059,FQDN,"{""name"": ""storebackup.us-central1.tgt-shr-test.gcp.cloud.globomantics.com""}"
158,2025-12-04 17:36:22.231576,2025-12-04 17:36:22.231576,FQDN,"{""name"": ""sre-sandbox.us-east1.tgt-shr-test.gcp.cloud.globomantics.com""}"
204,2025-12-04 17:36:22.408876,2025-12-04 17:56:49.271869,FQDN,"{""name"": ""click.oe1.globomantics.com""}"
163,2025-12-04 17:36:22.248952,2025-12-04 17:36:22.248952,FQDN,"{""name"": ""workspace-mdm.globomantics.com""}"
186,2025-12-04 17:36:22.337351,2025-12-04 17:56:56.286699,FQDN,"{""name"": ""mta18.em.globomantics.com""}"
167,2025-12-04 17:36:22.265484,2025-12-04 17:36:22.265484,FQDN,"{""name"": ""profile.globomantics.com""}"
169,2025-12-04 17:36:22.274107,2025-12-04 17:36:22.274107,FQDN,"{""name"": ""hkkvpn.globomantics.com""}"
175,2025-12-04 17:36:22.294632,2025-12-04 17:36:22.294632,FQDN,"{""name"": ""img9.globomantics.com""}"
177,2025-12-04 17:36:22.301599,2025-12-04 17:36:22.301599,FQDN,"{""name"": ""groupgifting.globomantics.com""}"
