edge_id,created_at,updated_at,etype,content,from_entity_id,to_entity_id
52,2025-12-04 17:36:22.004118,2025-12-04 17:36:22.003907,SimpleRelation,"{""label"": ""name_server""}",106,7
53,2025-12-04 17:36:22.016283,2025-12-04 17:36:22.016105,SimpleRelation,"{""label"": ""name_server""}",106,6
54,2025-12-04 17:36:22.025133,2025-12-04 17:36:22.024824,SimpleRelation,"{""label"": ""name_server""}",106,9
55,2025-12-04 17:36:22.043416,2025-12-04 17:36:22.043223,SimpleRelation,"{""label"": ""name_server""}",106,8
56,2025-12-04 17:36:22.050612,2025-12-04 17:36:22.05044,SimpleRelation,"{""label"": ""whois_server""}",106,110
60,2025-12-04 17:36:22.101459,2025-12-04 17:36:22.101295,SimpleRelation,"{""label"": ""registrar_contact""}",106,118
57,2025-12-04 17:36:22.066032,2025-12-04 17:36:22.51668,SimpleRelation,"{""label"": ""id""}",118,119
58,2025-12-04 17:36:22.079859,2025-12-04 17:36:22.527184,SimpleRelation,"{""label"": ""phone""}",118,122
59,2025-12-04 17:36:22.093733,2025-12-04 17:36:22.54088,SimpleRelation,"{""label"": ""url""}",118,125
61,2025-12-04 17:36:23.610878,2025-12-04 17:36:23.610666,SimpleRelation,"{""label"": ""registration_agency""}",119,425
62,2025-12-04 17:36:23.616927,2025-12-04 17:36:23.616753,SimpleRelation,"{""label"": ""fqdn""}",425,426
63,2025-12-04 17:36:24.357426,2025-12-04 17:36:24.357266,SimpleRelation,"{""label"": ""id""}",514,43
64,2025-12-04 17:36:24.365772,2025-12-04 17:36:24.365458,SimpleRelation,"{""label"": ""verified_for""}",1,514
65,2025-12-04 17:36:26.918117,2025-12-04 17:36:26.917977,SimpleRelation,"{""label"": ""id""}",516,515
66,2025-12-04 17:36:26.924231,2025-12-04 17:36:26.923994,SimpleRelation,"{""label"": ""verified_for""}",1,516
67,2025-12-04 17:36:29.937742,2025-12-04 17:36:29.937592,SimpleRelation,"{""label"": ""id""}",662,517
68,2025-12-04 17:36:29.94536,2025-12-04 17:36:29.945168,SimpleRelation,"{""label"": ""organization""}",118,662
69,2025-12-04 17:36:30.326958,2025-12-04 17:36:30.32671,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",135,696
70,2025-12-04 17:36:30.343168,2025-12-04 17:36:30.34293,SimpleRelation,"{""label"": ""node""}",1,135
72,2025-12-04 17:36:32.486085,2025-12-04 17:36:32.485897,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",291,696
73,2025-12-04 17:36:32.505448,2025-12-04 17:36:32.505258,SimpleRelation,"{""label"": ""node""}",1,291
94,2025-12-04 17:36:36.084505,2025-12-04 17:36:36.084246,SimpleRelation,"{""label"": ""node""}",1,310
95,2025-12-04 17:36:36.089235,2025-12-04 17:36:36.088984,SimpleRelation,"{""label"": ""node""}",1,185
96,2025-12-04 17:36:36.100954,2025-12-04 17:36:36.100823,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 27, ""class"": 1, ""rr_type"": 5}}",308,696
97,2025-12-04 17:36:36.115368,2025-12-04 17:36:36.114984,SimpleRelation,"{""label"": ""node""}",1,308
98,2025-12-04 17:36:36.264516,2025-12-04 17:36:36.264339,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",297,696
99,2025-12-04 17:36:36.278954,2025-12-04 17:36:36.278671,SimpleRelation,"{""label"": ""node""}",1,297
100,2025-12-04 17:36:36.653108,2025-12-04 17:36:36.652878,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 600, ""class"": 1, ""rr_type"": 5}}",260,879
101,2025-12-04 17:36:36.667779,2025-12-04 17:36:36.667521,SimpleRelation,"{""label"": ""node""}",1,260
102,2025-12-04 17:36:37.119176,2025-12-04 17:36:37.11899,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 1861, ""class"": 1, ""rr_type"": 1}}",181,884
103,2025-12-04 17:36:37.696091,2025-12-04 17:36:37.69586,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",256,885
104,2025-12-04 17:36:37.717213,2025-12-04 17:36:37.716872,SimpleRelation,"{""label"": ""node""}",1,256
105,2025-12-04 17:36:37.955992,2025-12-04 17:36:37.955784,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",223,886
106,2025-12-04 17:36:37.969641,2025-12-04 17:36:37.969351,SimpleRelation,"{""label"": ""node""}",1,223
107,2025-12-04 17:36:38.071502,2025-12-04 17:36:38.071285,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",206,879
108,2025-12-04 17:36:38.084526,2025-12-04 17:36:38.084193,SimpleRelation,"{""label"": ""node""}",1,206
109,2025-12-04 17:36:38.270898,2025-12-04 17:36:38.270547,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",211,879
110,2025-12-04 17:36:38.286591,2025-12-04 17:36:38.286379,SimpleRelation,"{""label"": ""node""}",1,211
111,2025-12-04 17:36:38.40705,2025-12-04 17:36:38.406634,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 1}}",162,884
112,2025-12-04 17:36:38.867106,2025-12-04 17:36:38.866924,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3597, ""class"": 1, ""rr_type"": 5}}",191,696
114,2025-12-04 17:36:38.888449,2025-12-04 17:36:38.888049,SimpleRelation,"{""label"": ""node""}",1,191
128,2025-12-04 17:36:41.467075,2025-12-04 17:36:41.466875,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3588, ""class"": 1, ""rr_type"": 5}}",266,879
129,2025-12-04 17:36:41.470323,2025-12-04 17:36:41.470167,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",246,890
130,2025-12-04 17:36:41.484987,2025-12-04 17:36:41.484665,SimpleRelation,"{""label"": ""node""}",1,266
131,2025-12-04 17:36:41.488335,2025-12-04 17:36:41.488052,SimpleRelation,"{""label"": ""node""}",1,246
132,2025-12-04 17:36:41.815573,2025-12-04 17:36:41.815348,SimpleRelation,"{""label"": ""id""}",891,888
133,2025-12-04 17:36:41.827062,2025-12-04 17:36:41.826777,SimpleRelation,"{""label"": ""verified_for""}",1,891
136,2025-12-04 17:36:42.276924,2025-12-04 17:36:42.276669,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",238,893
145,2025-12-04 17:36:43.668855,2025-12-04 17:36:43.668662,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 69894, ""class"": 1, ""rr_type"": 1}}",9,895
146,2025-12-04 17:36:44.158597,2025-12-04 17:36:44.158297,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",306,696
147,2025-12-04 17:36:44.17954,2025-12-04 17:36:44.179228,SimpleRelation,"{""label"": ""node""}",1,306
148,2025-12-04 17:36:44.41942,2025-12-04 17:36:44.419177,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 600, ""class"": 1, ""rr_type"": 5}}",200,879
149,2025-12-04 17:36:44.44176,2025-12-04 17:36:44.441309,SimpleRelation,"{""label"": ""node""}",1,200
150,2025-12-04 17:36:44.938693,2025-12-04 17:36:44.938489,SimpleRelation,"{""label"": ""id""}",896,888
151,2025-12-04 17:36:44.947138,2025-12-04 17:36:44.946795,SimpleRelation,"{""label"": ""verified_for""}",1,896
152,2025-12-04 17:36:46.214295,2025-12-04 17:36:46.214159,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 1}}",244,898
153,2025-12-04 17:36:46.236954,2025-12-04 17:36:46.236809,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3577, ""class"": 1, ""rr_type"": 5}}",175,899
154,2025-12-04 17:36:46.252977,2025-12-04 17:36:46.252563,SimpleRelation,"{""label"": ""node""}",1,175
155,2025-12-04 17:36:46.497487,2025-12-04 17:36:46.497374,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",348,696
156,2025-12-04 17:36:46.517205,2025-12-04 17:36:46.516913,SimpleRelation,"{""label"": ""node""}",1,348
157,2025-12-04 17:36:46.651212,2025-12-04 17:36:46.650973,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 1}}",218,900
158,2025-12-04 17:36:46.731373,2025-12-04 17:36:46.73111,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",334,901
159,2025-12-04 17:36:46.748763,2025-12-04 17:36:46.74839,SimpleRelation,"{""label"": ""node""}",1,334
160,2025-12-04 17:36:47.258347,2025-12-04 17:36:47.258074,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3184, ""class"": 1, ""rr_type"": 28}}",7,902
161,2025-12-04 17:36:47.958589,2025-12-04 17:36:47.958356,SimpleRelation,"{""label"": ""id""}",903,897
162,2025-12-04 17:36:47.966292,2025-12-04 17:36:47.965979,SimpleRelation,"{""label"": ""verified_for""}",1,903
163,2025-12-04 17:36:48.099046,2025-12-04 17:36:48.098876,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 18954, ""class"": 1, ""rr_type"": 1}}",6,904
164,2025-12-04 17:36:48.223927,2025-12-04 17:36:48.223716,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 1}}",226,905
165,2025-12-04 17:36:48.246716,2025-12-04 17:36:48.246516,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 1}}",172,906
166,2025-12-04 17:36:48.463965,2025-12-04 17:36:48.463823,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",167,696
71,2025-12-04 17:36:31.153557,2025-12-04 17:36:31.153396,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",110,767
74,2025-12-04 17:36:32.766298,2025-12-04 17:36:32.766041,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",252,879
75,2025-12-04 17:36:32.784394,2025-12-04 17:36:32.784084,SimpleRelation,"{""label"": ""node""}",1,252
76,2025-12-04 17:36:32.806083,2025-12-04 17:36:32.805854,SimpleRelation,"{""label"": ""id""}",880,665
77,2025-12-04 17:36:32.815141,2025-12-04 17:36:32.814883,SimpleRelation,"{""label"": ""verified_for""}",1,880
78,2025-12-04 17:36:33.237628,2025-12-04 17:36:33.23751,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",285,879
79,2025-12-04 17:36:33.253606,2025-12-04 17:36:33.253399,SimpleRelation,"{""label"": ""node""}",1,285
80,2025-12-04 17:36:34.062355,2025-12-04 17:36:34.062135,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 298, ""class"": 1, ""rr_type"": 5}}",163,882
81,2025-12-04 17:36:34.082307,2025-12-04 17:36:34.082044,SimpleRelation,"{""label"": ""node""}",1,163
82,2025-12-04 17:36:34.122297,2025-12-04 17:36:34.12216,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",133,879
83,2025-12-04 17:36:34.138043,2025-12-04 17:36:34.137654,SimpleRelation,"{""label"": ""node""}",1,133
84,2025-12-04 17:36:34.233866,2025-12-04 17:36:34.233633,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3568, ""class"": 1, ""rr_type"": 5}}",149,696
85,2025-12-04 17:36:34.250025,2025-12-04 17:36:34.24984,SimpleRelation,"{""label"": ""node""}",1,149
86,2025-12-04 17:36:34.288425,2025-12-04 17:36:34.288252,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",287,696
87,2025-12-04 17:36:34.302396,2025-12-04 17:36:34.3021,SimpleRelation,"{""label"": ""node""}",1,287
88,2025-12-04 17:36:34.483902,2025-12-04 17:36:34.483682,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",165,879
89,2025-12-04 17:36:34.499067,2025-12-04 17:36:34.498853,SimpleRelation,"{""label"": ""node""}",1,165
90,2025-12-04 17:36:34.900855,2025-12-04 17:36:34.900559,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",301,696
91,2025-12-04 17:36:34.917082,2025-12-04 17:36:34.916766,SimpleRelation,"{""label"": ""node""}",1,301
92,2025-12-04 17:36:36.065269,2025-12-04 17:36:36.06476,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 900, ""class"": 1, ""rr_type"": 5}}",310,189
93,2025-12-04 17:36:36.074538,2025-12-04 17:36:36.074328,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 300, ""class"": 1, ""rr_type"": 5}}",185,883
113,2025-12-04 17:36:38.87527,2025-12-04 17:36:38.874905,SimpleRelation,"{""label"": ""id""}",887,881
115,2025-12-04 17:36:38.888745,2025-12-04 17:36:38.888362,SimpleRelation,"{""label"": ""verified_for""}",1,887
116,2025-12-04 17:36:39.416173,2025-12-04 17:36:39.415808,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",198,879
117,2025-12-04 17:36:39.43495,2025-12-04 17:36:39.434631,SimpleRelation,"{""label"": ""node""}",1,198
118,2025-12-04 17:36:40.195727,2025-12-04 17:36:40.195259,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",145,879
119,2025-12-04 17:36:40.211976,2025-12-04 17:36:40.211656,SimpleRelation,"{""label"": ""node""}",1,145
120,2025-12-04 17:36:40.310285,2025-12-04 17:36:40.310143,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",281,696
121,2025-12-04 17:36:40.327783,2025-12-04 17:36:40.327359,SimpleRelation,"{""label"": ""node""}",1,281
122,2025-12-04 17:36:40.354568,2025-12-04 17:36:40.354353,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 300, ""class"": 1, ""rr_type"": 5}}",303,889
123,2025-12-04 17:36:40.367366,2025-12-04 17:36:40.36709,SimpleRelation,"{""label"": ""node""}",1,303
124,2025-12-04 17:36:40.771215,2025-12-04 17:36:40.770924,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3104, ""class"": 1, ""rr_type"": 5}}",264,696
125,2025-12-04 17:36:40.785936,2025-12-04 17:36:40.785671,SimpleRelation,"{""label"": ""node""}",1,264
126,2025-12-04 17:36:41.012156,2025-12-04 17:36:41.011933,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",295,141
127,2025-12-04 17:36:41.027898,2025-12-04 17:36:41.027613,SimpleRelation,"{""label"": ""node""}",1,295
134,2025-12-04 17:36:42.255015,2025-12-04 17:36:42.25465,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",153,879
135,2025-12-04 17:36:42.25944,2025-12-04 17:36:42.259055,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",217,892
137,2025-12-04 17:36:42.288538,2025-12-04 17:36:42.287852,SimpleRelation,"{""label"": ""node""}",1,153
138,2025-12-04 17:36:42.292483,2025-12-04 17:36:42.29188,SimpleRelation,"{""label"": ""node""}",1,217
139,2025-12-04 17:36:42.315653,2025-12-04 17:36:42.315104,SimpleRelation,"{""label"": ""node""}",1,238
140,2025-12-04 17:36:42.324539,2025-12-04 17:36:42.324284,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",183,696
141,2025-12-04 17:36:42.346429,2025-12-04 17:36:42.345982,SimpleRelation,"{""label"": ""node""}",1,183
142,2025-12-04 17:36:42.390785,2025-12-04 17:36:42.390531,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",316,696
143,2025-12-04 17:36:42.407383,2025-12-04 17:36:42.406854,SimpleRelation,"{""label"": ""node""}",1,316
144,2025-12-04 17:36:43.666384,2025-12-04 17:36:43.66624,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 16253, ""class"": 1, ""rr_type"": 1}}",7,894
457,2025-12-04 17:37:52.096716,2025-12-04 17:37:52.096358,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 300, ""class"": 1, ""rr_type"": 1}}",58,1206
458,2025-12-04 17:37:52.233298,2025-12-04 17:37:52.233123,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 0, ""class"": 1, ""rr_type"": 1}}",315,1207
459,2025-12-04 17:37:52.246015,2025-12-04 17:37:52.245774,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 0, ""class"": 1, ""rr_type"": 1}}",315,1208
460,2025-12-04 17:37:52.349981,2025-12-04 17:37:52.349795,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 5, ""class"": 1, ""rr_type"": 1}}",359,1209
461,2025-12-04 17:37:52.362338,2025-12-04 17:37:52.362206,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 5, ""class"": 1, ""rr_type"": 1}}",359,1210
462,2025-12-04 17:37:52.704648,2025-12-04 17:37:52.704448,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 300, ""class"": 1, ""rr_type"": 1}}",127,1211
463,2025-12-04 17:37:53.215234,2025-12-04 17:37:53.215096,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",480,371
678,2025-12-04 17:50:19.802673,2025-12-04 17:50:19.802272,SimpleRelation,"{""label"": ""node""}",451,204
167,2025-12-04 17:36:48.476997,2025-12-04 17:36:48.476599,SimpleRelation,"{""label"": ""node""}",1,167
168,2025-12-04 17:36:48.627943,2025-12-04 17:36:48.627721,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 30, ""class"": 1, ""rr_type"": 1}}",141,907
169,2025-12-04 17:36:49.117307,2025-12-04 17:36:49.116915,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 1036, ""class"": 1, ""rr_type"": 5}}",354,696
170,2025-12-04 17:36:49.137036,2025-12-04 17:36:49.136553,SimpleRelation,"{""label"": ""node""}",1,354
171,2025-12-04 17:36:49.268245,2025-12-04 17:36:49.267769,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",342,879
172,2025-12-04 17:36:49.285309,2025-12-04 17:36:49.284905,SimpleRelation,"{""label"": ""node""}",1,342
173,2025-12-04 17:36:49.340179,2025-12-04 17:36:49.340036,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",356,879
174,2025-12-04 17:36:49.358545,2025-12-04 17:36:49.358202,SimpleRelation,"{""label"": ""node""}",1,356
175,2025-12-04 17:36:49.847449,2025-12-04 17:36:49.847106,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 1}}",196,908
176,2025-12-04 17:36:50.034456,2025-12-04 17:36:50.034239,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3600, ""class"": 1, ""rr_type"": 5}}",362,885
177,2025-12-04 17:36:50.052874,2025-12-04 17:36:50.052435,SimpleRelation,"{""label"": ""node""}",1,362
178,2025-12-04 17:36:50.369558,2025-12-04 17:36:50.369177,BasicDNSRelation,"{""label"": ""dns_record"", ""header"": {""ttl"": 3594, ""class"": 1, ""rr_type"": 5}}",314,696
